ID,geneName
1205,YEL007W
1206,YEL008W
1207,YEL009C
1208,YEL010W
1209,YEL011W
1210,YEL012W
1211,YEL013W
1212,YEL014C
1213,YEL015W
1214,YEL016C
1215,YEL017C-A
1216,YEL017W
1217,YEL020C
1218,YEL022W
1219,YEL023C
1220,YEL024W
1221,YEL025C
1222,YEL027W
1223,YEL028W
1224,YEL029C
1225,YEL030W
1226,YEL031W
1227,YEL033W
1228,YEL036C
1229,YEL037C
1230,YEL038W
1231,YEL039C
1232,YEL040W
1233,YEL041W
1234,YEL042W
1235,YEL043W
1236,YEL044W
1237,YEL045C
1238,YEL046C
1239,YEL047C
1240,YEL048C
1241,YEL049W
1242,YEL050C
1243,YEL051W
1244,YEL052W
1245,YEL053C
1246,YEL054C
1247,YEL056W
1248,YEL057C
1249,YEL059C-A
1250,YEL059W
1251,YEL060C
1252,YEL061C
1253,YEL062W
1254,YEL063C
1255,YEL064C
1256,YEL065W
1257,YEL066W
1258,YEL067C
1259,YEL068C
1260,YEL071W
1261,YEL072W
1262,YER001W
1263,YER002W
1264,YER004W
1265,YER005W
1266,YER007C-A
1267,YER007W
1268,YER010C
1269,YER011W
1270,YER014C-A
1271,YER014W
1272,YER016W
1273,YER017C
1274,YER019C-A
1275,YER019W
1276,YER020W
1277,YER024W
1278,YER027C
1279,YER028C
1280,YER030W
1281,YER031C
1282,YER032W
1283,YER033C
1284,YER034W
1285,YER035W
1286,YER037W
1287,YER038W-A
1288,YER039C
1289,YER039C-A
1290,YER040W
1291,YER041W
1292,YER042W
1293,YER044C
1294,YER044C-A
1295,YER045C
1296,YER046W
1297,YER046W-A
1298,YER047C
1299,YER048C
1300,YER049W
1301,YER050C
1302,YER051W
1303,YER052C
1304,YER053C
1305,YER053C-A
1306,YER054C
1307,YER055C
1308,YER056C
1309,YER056C-A
1310,YER057C
1311,YER058W
1312,YER059W
1313,YER060W
1314,YER060W-A
1315,YER061C
1316,YER062C
1317,YER063W
1318,YER064C
1319,YER065C
1320,YER066C-A
1321,YER066W
1322,YER067C-A
1323,YER067W
1324,YER068C-A
1325,YER068W
1326,YER069W
1327,YER070W
1328,YER071C
1329,YER072W
1330,YER073W
1331,YER074W
1332,YER075C
1333,YER076C
1334,YER077C
1335,YER078C
1336,YER079W
1337,YER080W
1338,YER081W
1339,YER083C
1340,YER084W
1341,YER085C
1342,YER086W
1343,YER087C-A
1344,YER087C-B
1345,YER087W
1346,YER088C
1347,YER089C
1348,YER090W
1349,YER091C
1350,YER091C-A
1351,YER092W
1352,YER093C-A
1353,YER095W
1354,YER096W
1355,YER097W
1356,YER098W
1357,YER099C
1358,YER101C
1359,YER103W
1360,YER105C
1361,YER106W
1362,YER108C
1363,YER109C
1364,YER110C
1365,YER111C
1366,YER113C
1367,YER114C
1368,YER115C
1369,YER116C
1370,YER117W
1371,YER118C
1372,YER119C
1373,YER119C-A
1374,YER120W
1375,YER121W
1376,YER122C
1377,YER123W
1378,YER124C
1379,YER128W
1380,YER129W
1381,YER130C
1382,YER131W
1383,YER132C
1384,YER134C
1385,YER135C
1386,YER137C
1387,YER139C
1388,YER140W
1389,YER141W
1390,YER142C
1391,YER143W
1392,YER144C
1393,YER145C
1394,YER149C
1395,YER150W
1396,YER151C
1397,YER152C
1398,YER153C
1399,YER154W
1400,YER155C
1401,YER156C
1402,YER158C
1403,YER161C
1404,YER162C
1405,YER163C
1406,YER164W
1407,YER166W
1408,YER167W
1409,YER169W
1410,YER170W
1411,YER173W
1412,YER174C
1413,YER175C
1414,YER175W-A
1415,YER176W
1416,YER177W
1417,YER178W
1418,YER179W
1419,YER180C
1420,YER180C-A
1421,YER181C
1422,YER182W
1423,YER183C
1424,YER184C
1425,YER185W
1426,YER186C
1427,YER187W
1428,YER188W
1429,YFL001W
1430,YFL003C
1431,YFL004W
1432,YFL006W
1433,YFL007W
1434,YFL010C
1435,YFL010W-A
1436,YFL012W
1437,YFL013C
1438,YFL013W-A
1439,YFL014W
1440,YFL015C
1441,YFL016C
1442,YFL018C
1443,YFL019C
1444,YFL020C
1445,YFL021W
1446,YFL023W
1447,YFL025C
1448,YFL026W
1449,YFL027C
1450,YFL028C
1451,YFL030W
1452,YFL031W
1453,YFL032W
1454,YFL033C
1455,YFL034C-A
1456,YFL034W
1457,YFL036W
1458,YFL040W
1459,YFL041W
1460,YFL041W-A
1461,YFL042C
1462,YFL043C
1463,YFL044C
1464,YFL046W
1465,YFL047W
1466,YFL048C
1467,YFL049W
1468,YFL050C
1469,YFL051C
1470,YFL052W
1471,YFL053W
1472,YFL054C
1473,YFL055W
1474,YFL056C
1475,YFL063W
1476,YFR001W
1477,YFR006W
1478,YFR007W
1479,YFR008W
1480,YFR009W
1481,YFR010W
1482,YFR011C
1483,YFR012W
1484,YFR012W-A
1485,YFR013W
1486,YFR014C
1487,YFR015C
1488,YFR016C
1489,YFR017C
1490,YFR018C
1491,YFR019W
1492,YFR020W
1493,YFR021W
1494,YFR022W
1495,YFR023W
1496,YFR024C
1497,YFR024C-A
1498,YFR025C
1499,YFR026C
1500,YFR030W
1501,YFR031C-A
1502,YFR032C
1503,YFR032C-A
1504,YFR032C-B
1505,YFR033C
1506,YFR034C
1507,YFR035C
1508,YFR036W
1509,YFR038W
1510,YFR039C
1511,YFR040W
1512,YFR041C
1513,YFR043C
1514,YFR044C
1515,YFR045W
1516,YFR046C
1517,YFR047C
1518,YFR048W
1519,YFR049W
1520,YFR053C
1521,YFR054C
1522,YFR055W
1523,YFR056C
1524,YFR057W
1525,YGL002W
1526,YGL003C
1527,YGL004C
1528,YGL005C
1529,YGL006W
1530,YGL006W-A
1531,YGL007C-A
1532,YGL007W
1533,YGL010W
1534,YGL012W
1535,YGL013C
1536,YGL014W
1537,YGL015C
1538,YGL016W
1539,YGL017W
1540,YGL019W
1541,YGL020C
1542,YGL021W
1543,YGL023C
1544,YGL024W
1545,YGL025C
1546,YGL026C
1547,YGL027C
1548,YGL028C
1549,YGL029W
1550,YGL031C
1551,YGL032C
1552,YGL033W
1553,YGL034C
1554,YGL035C
1555,YGL036W
1556,YGL037C
1557,YGL039W
1558,YGL041C
1559,YGL041C-B
1560,YGL042C
1561,YGL043W
1562,YGL045W
1563,YGL046W
1564,YGL049C
1565,YGL050W
1566,YGL051W
1567,YGL053W
1568,YGL054C
1569,YGL056C
1570,YGL057C
1571,YGL058W
1572,YGL059W
1573,YGL060W
1574,YGL062W
1575,YGL063W
1576,YGL064C
1577,YGL066W
1578,YGL067W
1579,YGL070C
1580,YGL071W
1581,YGL072C
1582,YGL076C
1583,YGL077C
1584,YGL078C
1585,YGL079W
1586,YGL080W
1587,YGL081W
1588,YGL082W
1589,YGL083W
1590,YGL084C
1591,YGL085W
1592,YGL086W
1593,YGL087C
1594,YGL088W
1595,YGL089C
1596,YGL090W
1597,YGL094C
1598,YGL095C
1599,YGL096W
1600,YGL100W
1601,YGL101W
1602,YGL104C
1603,YGL105W
1604,YGL107C
1605,YGL108C
1606,YGL109W
1607,YGL110C
1608,YGL114W
1609,YGL115W
1610,YGL117W
1611,YGL118C
1612,YGL119W
1613,YGL121C
1614,YGL124C
1615,YGL125W
1616,YGL126W
1617,YGL127C
1618,YGL129C
1619,YGL131C
1620,YGL132W
1621,YGL133W
1622,YGL134W
1623,YGL135W
1624,YGL136C
1625,YGL138C
1626,YGL139W
1627,YGL140C
1628,YGL141W
1629,YGL143C
1630,YGL144C
1631,YGL146C
1632,YGL147C
1633,YGL148W
1634,YGL149W
1635,YGL151W
1636,YGL152C
1637,YGL153W
1638,YGL154C
1639,YGL156W
1640,YGL157W
1641,YGL158W
1642,YGL159W
1643,YGL160W
1644,YGL161C
1645,YGL162W
1646,YGL163C
1647,YGL164C
1648,YGL165C
1649,YGL166W
1650,YGL167C
1651,YGL168W
1652,YGL170C
1653,YGL173C
1654,YGL174W
1655,YGL175C
1656,YGL176C
1657,YGL177W
1658,YGL178W
1659,YGL179C
